id,name,parent_id,created_at,updated_at
1,レディース,0,2019-02-06 7:01:53,2019-02-06 7:01:53
2,メンズ,0,2019-02-06 7:01:53,2019-02-06 7:01:53
3,ベビー・キッズ,0,2019-02-06 7:01:53,2019-02-06 7:01:53
4,インテリア・住まい・小物,0,2019-02-06 7:01:53,2019-02-06 7:01:53
5,本・音楽・ゲーム,0,2019-02-06 7:01:53,2019-02-06 7:01:53
6,おもちゃ・ホビー・グッズ,0,2019-02-06 7:01:53,2019-02-06 7:01:53
7,コスメ・香水・美容,0,2019-02-06 7:01:53,2019-02-06 7:01:53
8,家電・スマホ・カメラ,0,2019-02-06 7:01:53,2019-02-06 7:01:53
9,スポーツ・レジャー,0,2019-02-06 7:01:53,2019-02-06 7:01:53
10,ハンドメイド,0,2019-02-06 7:01:53,2019-02-06 7:01:53
11,チケット,0,2019-02-06 7:01:53,2019-02-06 7:01:53
12,自動車・オートバイ,0,2019-02-06 7:01:53,2019-02-06 7:01:53
13,その他,0,2019-02-06 7:01:53,2019-02-06 7:01:53
14,トップス,1,2019-02-06 7:01:53,2019-02-06 7:01:53
15,ジャケット/アウター,1,2019-02-06 7:01:53,2019-02-06 7:01:53
16,パンツ,1,2019-02-06 7:01:53,2019-02-06 7:01:53
17,スカート,1,2019-02-06 7:01:53,2019-02-06 7:01:53
18,ワンピース,1,2019-02-06 7:01:53,2019-02-06 7:01:53
19,靴,1,2019-02-06 7:01:53,2019-02-06 7:01:53
20,ルームウェア/パジャマ,1,2019-02-06 7:01:53,2019-02-06 7:01:53
21,レッグウェア,1,2019-02-06 7:01:53,2019-02-06 7:01:53
22,帽子,1,2019-02-06 7:01:53,2019-02-06 7:01:53
23,バッグ,1,2019-02-06 7:01:53,2019-02-06 7:01:53
24,アクセサリー,1,2019-02-06 7:01:53,2019-02-06 7:01:53
25,ヘアアクセサリー,1,2019-02-06 7:01:53,2019-02-06 7:01:53
26,小物,1,2019-02-06 7:01:53,2019-02-06 7:01:53
27,時計,1,2019-02-06 7:01:53,2019-02-06 7:01:53
28,ウィッグ/エクステ,1,2019-02-06 7:01:53,2019-02-06 7:01:53
29,浴衣/水着,1,2019-02-06 7:01:53,2019-02-06 7:01:53
30,スーツ/フォーマル/ドレス,1,2019-02-06 7:01:53,2019-02-06 7:01:53
31,マタニティ,1,2019-02-06 7:01:53,2019-02-06 7:01:53
32,その他,1,2019-02-06 7:01:53,2019-02-06 7:01:53
33,トップス,2,2019-02-06 7:01:53,2019-02-06 7:01:53
34,ジャケット/アウター,2,2019-02-06 7:01:53,2019-02-06 7:01:53
35,パンツ,2,2019-02-06 7:01:53,2019-02-06 7:01:53
36,靴,2,2019-02-06 7:01:53,2019-02-06 7:01:53
37,バッグ,2,2019-02-06 7:01:53,2019-02-06 7:01:53
38,スーツ,2,2019-02-06 7:01:53,2019-02-06 7:01:53
